x,y
4.999354494742531,4.999321879473917
5.099354134751852,4.999053555032096
5.199353774761174,4.998785230590276
5.299353414770496,4.9985169061484545
5.399353054779818,4.998248581706634
5.499352694789139,4.997980257264813
5.599352334798461,4.997711932822993
5.699351974807782,4.997443608381172
5.799351614817104,4.9971752839393515
5.899351254826426,4.99690695949753
5.9993508948357475,4.99663863505571
6.099350534845069,4.996370310613889
6.19935017485439,4.996101986172069
6.299349814863712,4.995833661730248
6.399349454873034,4.995565337288427
6.499349094882355,4.995297012846606
6.599348734891677,4.995028688404786
6.699348374900999,4.994760363962965
6.79934801491032,4.994492039521145
6.899347654919643,4.994223715079324
6.999347294928963,4.993955390637503
